Opening Name	White Wins	Draws	Black Wins	FEN	PGN
Anderssen's Opening	1189425	134500	1239385	rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq - 0 1	1 a3
Anderssen's Opening-Polish Gambit	2514	534	2730	rnbqkbnr/1ppppppp/8/p7/1P6/P7/2PPPPPP/RNBQKBNR b KQkq - 0 2	1 a3 a5 2 b4
Anderssen's Opening-Hippopotamus Attack	301	28	602	r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/PPPPPPP1/7P/RNBQKBNR b KQ - 0 7	1 a3 e5 2 b3 d5 3 c3 Nf6 4 d3 Nc6 5 e3 Bd6 6 f3 0-0 7 g3
Anderssen's Opening-Shy Attack	341	33	351	r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/P2PP1PP/1PPN1PB1/R1BQK1NR b KQ - 0 7	1 a3 e5 2 g3 d5 3 Bg2 Nf6 4 d3 Nc6 5 Nd2 Bd6 6 e3 0-0 7 h3
Anderssen's Opening-Creepy Crawly Formation	147189	12795	163186	rnbqkbnr/ppp2ppp/8/3pp3/8/P6P/1PPPPPP1/RNBQKBNR w KQkq - 0 3	1 a3 e5 2 h3 d5
Anderssen's Opening-Andersspike	228	43	322	rnbqkbnr/pppppp1p/6p1/8/6P1/P7/1PPPPP1P/RNBQKBNR b KQkq - 0 2	1 a3 g6 2 g4
Ware/Meadow Hay Opening	876638	126377	1122534	rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b KQkq - 0 1	1 a4
Ware Opening-Wing Gambit	3597	1717	2765	rnbqkbnr/p1pppppp/8/1p6/P7/8/1PPPPPPP/RNBQKBNR w KQkq - 0 2	1 a4 b5 (2 axb5 Bb7)
Ware Opening-Potato Variation	11963	1143	12845	rnbqkbnr/ppp1pppp/8/3p4/P7/5N2/1PPPPPPP/RNBQKB1R b KQkq - 1 2	1 a4 d5 2 Nf3
Ware Opening-King's Pawn Variation	354723	39753	488260	rnbqkbnr/pppp1ppp/8/4p3/P7/8/1PPPPPPP/RNBQKBNR w KQkq - 0 2	1 a4 e5
Ware Opening-Ware Gambit	125	9	100	rnbqkbnr/ppp3pp/P7/3ppp2/8/4P3/1PPP1PPP/RNBQKBNR b KQkq - 0 4	1 a4 e5 2 a5 d5 3 e3 f5 4 a6
Ware Opening-Aquisap Opening	118990	12386	154777	rnbqkbnr/pppp1ppp/8/4p3/P3P3/8/1PPP1PPP/RNBQKBNR b KQkq - 0 2	1 a4 e5 2 e4
Ware Opening-Crab Opening	96291	11317	139855	rnbqkbnr/pppp1ppp/8/4p3/P6P/8/1PPPPPP1/RNBQKBNR b KQkq - 0 2	1 a4 e5 2 h4
Ware Opening-Meadow Hay Trap	8489	1863	24894	rnbqkbnr/pppp1ppp/8/4p3/P7/R7/1PPPPPPP/1NBQKBNR b Kkq - 1 2	1 a4 e5 2 Ra3
Nimzowitsch-Larsen Attack	15153061	1382483	14205303	rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1	1 b3
Nimzowitsch-Larsen Attack-Polish Variation	42881	4263	32121	rnbqkbnr/p1pppppp/8/1p6/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2	1 b3 b5
Nimzowitsch-Larsen Attack-Symmetrical Variation	427222	41841	387980	rnbqkbnr/p1pppppp/1p6/8/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2	1 b3 b6
Nimzowitsch-Larsen Attack-English Variation	780731	73266	750651	rnbqkbnr/pp1ppppp/8/2p5/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2	1 b3 c5
Nimzowitsch-Larsen Attack-Classical Variation	3764665	347217	3583768	rnbqkbnr/ppp1pppp/8/3p4/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2	1 b3 d5
Nimzowitsch-Larsen Attack-Classical Variation-Graz Attack	41389	4249	46345	rnbqkbnr/ppp1pppp/8/3p4/8/BP6/P1PPPPPP/RN1QKBNR b KQkq - 1 2	1 b3 d5 2 Ba3
Nimzowitsch-Larsen Attack-Modern Variation	5562573	470249	5196486	rnbqkbnr/pppp1ppp/8/4p3/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2	1 b3 e5
Nimzowitsch-Larsen Attack-Modern Variation #4	1872211	152589	1631815	r1bqkbnr/pppp1ppp/2n5/4p3/8/1P2P3/PBPP1PPP/RN1QKBNR b KQkq - 0 3	1 b3 e5 2 Bb2 Nc6 3 e3
Nimzowitsch-Larsen Attack-Modern Variation-Paschmann Gambit	9463	696	11581	r1bqkbnr/pppp1ppp/2n5/4p3/5P2/1P6/PBPPP1PP/RN1QKBNR b KQkq - 0 3	1 b3 e5 2 Bb2 Nc6 3 f4
Nimzowitsch-Larsen Attack-Ringelbach Gambit	3465	239	2119	rnbqkbnr/pppp2pp/4p3/5p2/4P3/1P6/PBPP1PPP/RN1QKBNR b KQkq - 0 3	1 b3 e6 2 Bb2 f5 3 e4
Nimzowitsch-Larsen Attack-Dutch Variation	135356	12224	125006	rnbqkbnr/ppppp1pp/8/5p2/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2	1 b3 f5
Nimzowitsch-Larsen Attack-Dutch Variation-Ringelbach Variation	3465	239	2119	rnbqkbnr/pppp2pp/4p3/5p2/4P3/1P6/PBPP1PPP/RN1QKBNR b KQkq - 0 3	1 b3 f5 2 Bb2 e6 3 e4
Nimzowitsch-Larsen Attack-Indian Variation	1507918	166365	1514462	rnbqkb1r/pppppppp/5n2/8/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 1 2	1 b3 Nf6
